Frequency [Hz],TVR [dB],R [Ohm],X [Ohm]
23300,138.94176,73.99754292,-382.7741031
23400,139.11485,74.74685974,-381.438419
23500,139.20139,75.38366907,-379.8517044
23600,139.41776,75.87914041,-377.9487831
23700,139.54758,76.35387768,-376.0200481
23800,139.72067,76.75903349,-373.9466078
23900,139.80722,77.551911,-372.7811764
24000,139.98031,78.16571644,-371.1946745
24100,140.11013,78.81681038,-369.666449
24200,140.23995,79.64482479,-368.4689122
24300,140.36977,80.21553333,-366.6109981
24400,140.54286,80.97520106,-365.045968
24500,140.62941,81.71068854,-363.2809054
24600,140.8025,82.45229959,-361.3589673
24700,140.88905,83.32528156,-359.5024149
24800,140.88905,84.20021161,-357.2853505
24900,141.06214,85.45290585,-355.2450755
25000,141.14869,87.15309355,-353.2892294
25100,141.32178,89.30672219,-351.2157104
25200,141.36505,92.24968273,-349.7061643
25300,141.49487,95.02300675,-347.6234802
25400,141.58142,98.00787886,-346.1997867
25500,141.66797,101.1821748,-345.0350635
25600,141.75451,105.4429236,-344.4071536
25700,141.88433,111.4309293,-344.4060342
25800,141.9276,117.3358122,-344.3475096
25900,142.01415,122.561903,-344.8716645
26000,142.05742,128.0178832,-346.3401505
26100,142.14397,133.0168154,-347.1106442
26200,142.23052,139.1030974,-348.6926299
26300,142.23052,145.9849226,-350.7901085
26400,142.31706,152.769205,-352.615067
26500,142.40361,160.0004858,-354.8351156
26600,142.40361,166.7275025,-356.7459727
26700,142.49016,174.0711214,-359.4640471
26800,142.49016,183.8411532,-364.398745
26900,142.5767,189.0982837,-366.3912359
27000,142.5767,195.8465397,-369.9165437
27100,142.5767,200.9527084,-372.7456523
27200,142.66325,206.6004402,-376.3244628
27300,142.66325,210.5108554,-379.149214
27400,142.66325,213.009975,-381.4208732
27500,142.66325,215.2442928,-383.7937554
27600,142.70652,216.8368688,-385.9606338
27700,142.70652,218.4439851,-388.2413869
27800,142.74979,218.5127968,-389.6576288
27900,142.70652,220.184552,-392.1336667
28000,142.66325,222.3159142,-394.9835179
28100,142.66325,221.9031214,-396.3907626
28200,142.66325,222.3570003,-398.4434653
28300,142.66325,222.2253013,-400.2637355
28400,142.66325,221.4624209,-401.8257889
28500,142.66325,219.8062397,-402.9567348
28600,142.5767,218.405382,-404.3749287
28700,142.5767,216.5443695,-405.597608
28800,142.5767,214.1847125,-406.5646176
28900,142.49016,212.3607226,-407.9626177
29000,142.49016,209.7017035,-408.8187521
29100,142.40361,206.9552264,-409.6233662
29200,142.40361,204.2290637,-410.4387555
29300,142.31706,200.7108499,-410.6387853
29400,142.23052,197.119153,-410.7577155
29500,142.23052,195.1486456,-412.1955142
29600,142.18724,191.507798,-412.2941779
29700,142.14397,188.1859174,-412.6761342
29800,142.05742,185.182125,-413.3706837
29900,141.97088,180.9136601,-412.9322886
30000,141.9276,177.5735625,-413.3154952
30100,141.88433,173.4787438,-412.9303141
30200,141.75451,169.8022114,-412.8701299
30300,141.75451,166.071312,-412.6574586
30400,141.62469,162.1775051,-412.1564788
30500,141.58142,158.2578294,-411.4977593
30600,141.53815,154.0629328,-410.3882708
30700,141.4516,150.5575556,-409.930313
30800,141.40833,146.7697538,-409.0114045
30900,141.27851,143.0947229,-408.0895726
31000,141.23523,139.7628065,-407.4675827
31100,141.14869,136.5218798,-406.8435506
31200,141.06214,132.9376139,-405.6311484
31300,140.97559,129.7512904,-404.8222472
31400,140.88905,126.4348174,-403.6969177
31500,140.8025,123.4065382,-402.8494559
31600,140.75923,120.1808586,-401.5611686
31700,140.62941,116.9569391,-400.1017388
31800,140.54286,113.7391943,-398.4606071
31900,140.45632,110.8050431,-397.0787386
32000,140.41304,107.8476352,-395.4545215
32100,140.3265,105.3017725,-394.3276096
32200,140.23995,102.7261616,-392.967662
32300,140.19668,100.2377079,-391.591641
32400,140.06686,98.01554166,-390.5534245
32500,140.02358,95.47654944,-388.7817252
32600,139.89376,93.20022835,-387.3772474
32700,139.85049,90.89831193,-385.8074992
32800,139.76395,88.63929474,-384.2170533
32900,139.6774,86.59397031,-382.9646159
33000,139.59085,84.46223118,-381.4251622
33100,139.54758,82.28148158,-379.6563916
33200,139.46103,80.28207828,-378.1566345
33300,139.37449,78.31004471,-376.5870135
33400,139.28794,76.34071997,-374.8811508
33500,139.28794,74.49951328,-373.3283008
33600,139.20139,72.67434029,-371.6620092
33700,139.11485,70.95063492,-370.0968526
33800,139.07157,69.17426722,-368.2535934
33900,138.98503,67.46671107,-366.4422468
34000,138.94176,65.95332444,-365.0103466
34100,138.85521,64.48162107,-363.5739334
34200,138.85521,63.05904238,-362.1618726
34300,138.76866,61.59887031,-360.5375488
34400,138.72539,60.0563036,-358.5661671
34500,138.68212,58.76376362,-357.2167765
34600,138.59557,57.47002672,-355.7697514
34700,138.59557,56.17096839,-354.2058809
34800,138.50902,54.95898783,-352.8071491
34900,138.50902,53.72871278,-351.2461878
35000,138.46575,52.59391854,-349.8831299
35100,138.42248,51.36764261,-348.1038194
35200,138.42248,50.1286194,-346.166533
35300,138.33593,49.01060422,-344.5094446
35400,138.33593,47.97545504,-343.0101278
35500,138.24938,46.96837803,-341.4946843
35600,138.24938,45.99563585,-339.9840808
35700,138.24938,45.01714347,-338.3334425
35800,138.20611,44.21081377,-337.2059128
35900,138.16284,43.34100643,-335.731847
36000,138.16284,42.45351876,-334.0741785
36100,138.16284,41.68346427,-332.75801
36200,138.16284,40.82409279,-330.9769376
36300,138.11956,40.06180537,-329.4674107
36400,138.07629,39.31971625,-327.9284851
36500,138.07629,38.60445471,-326.389187
36600,138.07629,37.96343893,-325.0514254
36700,138.07629,37.30285679,-323.5205173
36800,138.07629,36.62550436,-321.7992299
36900,138.07629,36.08859006,-320.5688806
37000,138.07629,35.46176974,-318.8233512
37100,138.07629,35.0356978,-317.8476093
