Frequency [Hz],TVR [dB],G [S],B [S]
39000,122.5868734,0.00011021,0.001442919
39100,122.6906031,0.000112691,0.001450028
39200,122.8786868,0.000114352,0.001454759
39300,122.9668959,0.000117375,0.001463319
39400,123.1032566,0.000120413,0.001471008
39500,123.3938968,0.000122373,0.00147433
39600,123.691351,0.000128773,0.001480244
39700,123.9899568,0.00013828,0.001485526
39800,124.5925298,0.000143945,0.001485528
39900,124.8483525,0.000151129,0.001490216
40000,125.2475032,0.000157316,0.001495156
40100,125.7901689,0.000162337,0.001500221
40200,126.1498132,0.000165921,0.001502162
40300,126.4115674,0.000171838,0.001504884
40400,126.632181,0.000177527,0.00151189
40500,126.875456,0.000184836,0.001515269
40600,127.1927383,0.000187902,0.001519756
40700,127.3790032,0.000194421,0.001523213
40800,127.6789059,0.00020152,0.001524939
40900,128.0136538,0.000207881,0.001526785
41000,128.1150856,0.000210204,0.001526694
41100,128.1527246,0.000213197,0.001530017
41200,128.1559773,0.000212623,0.00153661
41300,128.3409068,0.000212652,0.001538236
41400,128.5080885,0.00021678,0.00154496
41500,128.5929619,0.000224401,0.00154985
41600,128.7962779,0.000231145,0.001556443
41700,129.3372712,0.000236453,0.001559966
41800,129.5817244,0.000245525,0.001568326
41900,129.6457108,0.000253986,0.001574746
42000,129.7268973,0.000257473,0.001582674
42100,129.8119632,0.000258104,0.001586465
42200,129.8875878,0.00025842,0.001594941
42300,129.9295445,0.000259853,0.001602373
42400,130.018709,0.000260459,0.001607751
42500,130.1501149,0.000262166,0.001619532
42600,130.2454236,0.000268621,0.001629695
42700,130.4906152,0.000276085,0.001634741
42800,130.6481348,0.000281797,0.001641213
42900,130.8771818,0.000291023,0.001650674
43000,131.3238983,0.000300126,0.001660694
43100,131.3730135,0.000304985,0.001668008
43200,131.4416416,0.000310031,0.001668542
43300,131.5562726,0.000313032,0.001667438
43400,131.6287643,0.000317283,0.00166479
43500,131.7683056,0.000319534,0.001664267
43600,132.1125989,0.000328832,0.001664228
43700,132.1946061,0.00033884,0.001664041
43800,132.5114898,0.000344486,0.001665687
43900,132.6966638,0.000353333,0.001670413
44000,132.872487,0.00036256,0.001673714
44100,133.0801949,0.000370722,0.001674039
44200,133.299577,0.000376381,0.001674057
44300,133.5104229,0.000383497,0.001674059
44400,133.6925223,0.000392993,0.001674059
44500,133.7990634,0.0004032,0.001674059
44600,133.9185123,0.000409022,0.001674059
44700,133.9983823,0.000419722,0.001674059
44800,134.2078614,0.000427643,0.001674062
44900,134.4086858,0.00043268,0.001674093
45000,134.457483,0.000438326,0.001677193
45100,134.5640834,0.000443586,0.001682179
45200,134.6848389,0.000446511,0.001678977
45300,134.7809138,0.000447659,0.001673916
45400,134.7861856,0.000447663,0.001655651
45500,134.7861856,0.000447684,0.001636001
45600,134.7861856,0.000448832,0.001628204
45700,134.7861856,0.000448784,0.001622892
45800,134.7861856,0.000450005,0.001619725
